Country,Attacks,Age,Year,Fatal,% Fatal
MALAYSIA,1.0,41.0,1968,0,0.0
MALDIVE ISLANDS,1.0,3.0,1959,1,100.0
MICRONESIA,1.0,43.0,1970,0,0.0
MID ATLANTIC OCEAN,1.0,22.0,1961,0,0.0
NEW GUINEA,1.0,30.0,1965,1,100.0
NIGERIA,1.0,38.0,2012,0,0.0
NORTH ATLANTIC OCEAN,1.0,34.0,1980,0,0.0
NORTH ATLANTIC OCEAN ,1.0,15.0,1955,0,0.0
NORTH SEA,1.0,18.0,1960,0,0.0
NORWAY,1.0,48.0,2007,0,0.0
WESTERN SAMOA,1.0,25.0,1972,1,100.0
